stage,comum,incomum,raro,epico,lendario
1,100.0,0.0,0.0,0.0,0.0
2,100.0,0.0,0.0,0.0,0.0
3,100.0,0.0,0.0,0.0,0.0
4,100.0,0.0,0.0,0.0,0.0
5,100.0,0.0,0.0,0.0,0.0
6,100.0,0.0,0.0,0.0,0.0
7,100.0,0.0,0.0,0.0,0.0
8,100.0,0.0,0.0,0.0,0.0
9,100.0,0.0,0.0,0.0,0.0
10,30.0,40.0,30.0,0.0,0.0
11,53.0,47.0,0.0,0.0,0.0
12,53.0,47.0,0.0,0.0,0.0
13,53.0,47.0,0.0,0.0,0.0
14,53.0,47.0,0.0,0.0,0.0
15,53.0,47.0,0.0,0.0,0.0
16,53.0,47.0,0.0,0.0,0.0
17,53.0,47.0,0.0,0.0,0.0
18,53.0,47.0,0.0,0.0,0.0
19,53.0,47.0,0.0,0.0,0.0
20,10.0,35.0,35.0,15.0,5.0
21,23.0,35.0,42.0,0.0,0.0
22,23.0,35.0,42.0,0.0,0.0
23,23.0,35.0,42.0,0.0,0.0
24,23.0,35.0,42.0,0.0,0.0
25,23.0,35.0,42.0,0.0,0.0
26,23.0,35.0,42.0,0.0,0.0
27,23.0,35.0,42.0,0.0,0.0
28,23.0,35.0,42.0,0.0,0.0
29,23.0,35.0,42.0,0.0,0.0
30,5.0,25.0,40.0,20.0,10.0
31,8.0,23.0,42.0,27.0,0.0
32,8.0,23.0,42.0,27.0,0.0
33,8.0,23.0,42.0,27.0,0.0
34,8.0,23.0,42.0,27.0,0.0
35,8.0,23.0,42.0,27.0,0.0
36,8.0,23.0,42.0,27.0,0.0
37,8.0,23.0,42.0,27.0,0.0
38,8.0,23.0,42.0,27.0,0.0
39,8.0,23.0,42.0,27.0,0.0
40,2.0,10.0,35.0,33.0,20.0
41,5.0,19.0,43.0,33.0,0.0
42,5.0,19.0,43.0,33.0,0.0
43,5.0,19.0,43.0,33.0,0.0
44,5.0,19.0,43.0,33.0,0.0
45,5.0,19.0,43.0,33.0,0.0
46,5.0,19.0,43.0,33.0,0.0
47,5.0,19.0,43.0,33.0,0.0
48,5.0,19.0,43.0,33.0,0.0
49,5.0,19.0,43.0,33.0,0.0
50,1.0,10.0,30.0,34.0,25.0
51,3.0,12.0,35.0,35.0,15.0
52,3.0,12.0,35.0,35.0,15.0
53,3.0,12.0,35.0,35.0,15.0
54,3.0,12.0,35.0,35.0,15.0
55,3.0,12.0,35.0,35.0,15.0
56,3.0,12.0,35.0,35.0,15.0
57,3.0,12.0,35.0,35.0,15.0
58,3.0,12.0,35.0,35.0,15.0
59,3.0,12.0,35.0,35.0,15.0
60,1.0,8.0,25.0,36.0,30.0
61,2.0,8.0,30.0,40.0,20.0
62,2.0,8.0,30.0,40.0,20.0
63,2.0,8.0,30.0,40.0,20.0
64,2.0,8.0,30.0,40.0,20.0
65,2.0,8.0,30.0,40.0,20.0
66,2.0,8.0,30.0,40.0,20.0
67,2.0,8.0,30.0,40.0,20.0
68,2.0,8.0,30.0,40.0,20.0
69,2.0,8.0,30.0,40.0,20.0
70,1.0,5.0,20.0,39.0,35.0
71,1.0,5.0,25.0,40.0,29.0
72,1.0,5.0,25.0,40.0,29.0
73,1.0,5.0,25.0,40.0,29.0
74,1.0,5.0,25.0,40.0,29.0
75,1.0,5.0,25.0,40.0,29.0
76,1.0,5.0,25.0,40.0,29.0
77,1.0,5.0,25.0,40.0,29.0
78,1.0,5.0,25.0,40.0,29.0
79,1.0,5.0,25.0,40.0,29.0
80,1.0,3.0,15.0,41.0,40.0
81,1.0,3.0,18.0,42.0,36.0
82,1.0,3.0,18.0,42.0,36.0
83,1.0,3.0,18.0,42.0,36.0
84,1.0,3.0,18.0,42.0,36.0
85,1.0,3.0,18.0,42.0,36.0
86,1.0,3.0,18.0,42.0,36.0
87,1.0,3.0,18.0,42.0,36.0
88,1.0,3.0,18.0,42.0,36.0
89,1.0,3.0,18.0,42.0,36.0
90,1.0,2.0,8.0,39.0,50.0
91,1.0,2.0,12.0,40.0,45.0
92,1.0,2.0,12.0,40.0,45.0
93,1.0,2.0,12.0,40.0,45.0
94,1.0,2.0,12.0,40.0,45.0
95,1.0,2.0,12.0,40.0,45.0
96,1.0,2.0,12.0,40.0,45.0
97,1.0,2.0,12.0,40.0,45.0
98,1.0,2.0,12.0,40.0,45.0
99,1.0,2.0,12.0,40.0,45.0
100,0.0,1.0,5.0,44.0,50.0
