id,rarity,top,right,bottom,left,cardName,hasAnimation
1,Common,1,2,3,1,Marine,TRUE
2,Common,2,3,1,2,Nadia,TRUE
3,Common,3,1,2,3,Mary,FALSE
4,Common,1,4,2,3,Flora,FALSE
5,Common,2,1,4,3,Epinel,TRUE
6,Common,4,3,2,1,Emma,FALSE
7,Common,3,2,1,4,Makina,FALSE
8,Common,1,3,4,2,Sherry,FALSE
9,Common,2,4,1,3,Candy,FALSE
10,Common,3,2,4,1,Charmaine,FALSE
11,Common,4,1,3,2,Rachel,FALSE
12,Common,1,5,2,4,Dafine,FALSE
13,Common,5,2,4,1,Stela,FALSE
14,Common,2,4,5,1,Tania,TRUE
15,Common,1,3,5,4,Lana,FALSE
16,Common,3,5,4,2,Agner,FALSE
17,Common,5,4,3,1,Carmelia,TRUE
18,Common,4,2,1,5,Ravena,TRUE
19,Common,2,1,5,4,Sate,FALSE
20,Common,5,1,2,3,Lavinia,FALSE
21,Uncommon,3,5,4,6,Agatha,FALSE
22,Uncommon,5,6,3,4,Catia,FALSE
23,Uncommon,4,3,6,5,Felicia,FALSE
24,Uncommon,6,4,5,3,Sonia,FALSE
25,Uncommon,3,7,4,5,Galia,FALSE
26,Uncommon,7,4,5,3,Lucy,TRUE
27,Uncommon,5,3,7,4,Samira,FALSE
28,Uncommon,4,5,3,7,Arat,FALSE
29,Uncommon,6,5,7,4,Tilene,FALSE
30,Uncommon,7,6,4,5,Trish,TRUE
31,Uncommon,5,7,6,4,Viola,FALSE
32,Uncommon,4,6,7,5,Pameli,TRUE
33,Uncommon,7,5,6,3,Tayumi,FALSE
34,Uncommon,6,3,5,7,Sabrina,FALSE
35,Uncommon,3,6,7,5,Gobdine,FALSE
36,Uncommon,5,4,7,6,Gobhime,FALSE
37,Uncommon,7,3,6,4,Primula,FALSE
38,Uncommon,6,7,5,3,Pline,FALSE
39,Uncommon,4,7,3,6,Gerline,TRUE
40,Uncommon,7,5,4,6,Tamara,TRUE
41,Rare,7,8,6,5,Aquamarine,TRUE
42,Rare,8,7,5,6,Tess,FALSE
43,Rare,6,5,7,8,Magenta,FALSE
44,Rare,5,6,8,7,Vanila,FALSE
45,Rare,8,9,7,6,Tanjine,FALSE
46,Rare,9,8,6,7,Purpura,FALSE
47,Rare,7,6,9,8,Elenaria,FALSE
48,Rare,6,7,8,9,Zoe,FALSE
49,Rare,8,6,9,7,Zaria,FALSE
50,Rare,9,7,8,6,Pompeia,FALSE
51,Rare,6,9,7,8,Jackal,FALSE
52,Rare,7,8,9,6,Farath,FALSE
53,Rare,9,5,8,7,Melian,FALSE
54,Rare,5,8,7,9,Dalia,FALSE
55,Rare,8,9,5,7,Bunnyli,FALSE
56,Rare,7,5,9,8,Geise,FALSE
57,Rare,9,6,7,8,Sadica,FALSE
58,Rare,6,8,9,7,Talia,FALSE
59,Rare,8,7,6,9,Sandy,TRUE
60,Rare,7,9,6,8,Wendy,FALSE
61,Epic,8,9,A,7,Brytri,FALSE
62,Epic,9,A,7,8,Ohana,FALSE
63,Epic,A,7,8,9,Sara,TRUE
64,Epic,7,8,9,A,Julie,FALSE
65,Epic,9,8,A,7,Maho,FALSE
66,Epic,8,A,7,9,Vanessa,FALSE
67,Epic,A,9,7,8,Arcane,FALSE
68,Epic,7,9,A,8,Tina,FALSE
69,Epic,9,7,8,A,Damia,FALSE
70,Epic,8,9,7,A,Morgana,FALSE
71,Epic,7,A,9,8,Nora,FALSE
72,Epic,A,8,9,7,Nevi,FALSE
73,Epic,9,8,A,7,Persania,FALSE
74,Epic,8,7,A,9,Lucivia,FALSE
75,Epic,A,9,8,7,Mazira,FALSE
76,Epic,9,A,7,8,Lafana,TRUE
77,Epic,7,A,8,9,Bony,FALSE
78,Epic,A,7,9,8,Lactia,TRUE
79,Epic,8,A,9,7,Mimosa,FALSE
80,Epic,9,7,A,8,Milcow,TRUE
81,Legendary,A,B,9,A,Nivea,FALSE
82,Legendary,B,A,9,A,Scarlet,FALSE
83,Legendary,9,A,B,A,Serena,FALSE
84,Legendary,A,9,A,B,Zaleia,FALSE
85,Legendary,A,B,9,9,Dyana,FALSE
86,Legendary,B,A,8,A,Darana,FALSE
87,Legendary,9,B,A,8,Iris,FALSE
88,Legendary,A,A,B,9,Octania,FALSE
89,Legendary,A,9,B,A,Minerva,TRUE
90,Legendary,B,A,8,B,Ravenn,TRUE
91,Legendary,A,B,9,9,Kebi,FALSE
92,Legendary,B,9,9,A,Sarina,TRUE
93,Legendary,9,B,A,9,Nymp,FALSE
94,Legendary,B,A,8,B,Ember,FALSE
95,Legendary,B,9,A,B,Kohako,FALSE
96,Legendary,B,A,9,B,Bea,FALSE
97,Legendary,9,A,B,9,Sally,TRUE
98,Legendary,B,9,B,A,Taran,FALSE
99,Legendary,A,B,B,9,Isality,FALSE
100,Legendary,9,B,A,A,Selena,TRUE
