Ordem,Liga,Divisão,Nome Completo,Vitórias para Subir
1,Bronze,V,Bronze V,5
2,Bronze,IV,Bronze IV,5
3,Bronze,III,Bronze III,5
4,Bronze,II,Bronze II,5
5,Bronze,I,Bronze I,5
6,Prata,V,Prata V,5
7,Prata,IV,Prata IV,5
8,Prata,III,Prata III,5
9,Prata,II,Prata II,5
10,Prata,I,Prata I,5
11,Ouro,V,Ouro V,5
12,Ouro,IV,Ouro IV,5
13,Ouro,III,Ouro III,5
14,Ouro,II,Ouro II,5
15,Ouro,I,Ouro I,5
16,Platina,V,Platina V,5
17,Platina,IV,Platina IV,5
18,Platina,III,Platina III,5
19,Platina,II,Platina II,5
20,Platina,I,Platina I,5
21,Diamante,V,Diamante V,5
22,Diamante,IV,Diamante IV,5
23,Diamante,III,Diamante III,5
24,Diamante,II,Diamante II,5
25,Diamante,I,Diamante I,5
26,Mestre,V,Mestre V,5
27,Mestre,IV,Mestre IV,5
28,Mestre,III,Mestre III,5
29,Mestre,II,Mestre II,5
30,Mestre,I,Mestre I,5
31,Grão-Mestre,III,Grão-Mestre III,5
32,Grão-Mestre,II,Grão-Mestre II,5
33,Grão-Mestre,I,Grão-Mestre I,5
34,Lendário,—,Lendário,Máximo
