Rank,Comum %,Incomum %,Raro %,Épico %,Lendário %,Máximo de Lendárias,Máximo de Épicas,Máximo de Raras
Bronze V,100,0,0,0,0,0,0,0
Bronze IV,95,5,0,0,0,0,0,0
Bronze III,90,10,0,0,0,0,0,0
Bronze II,85,15,0,0,0,0,0,0
Bronze I,80,20,0,0,0,0,0,0
Prata V,70,30,0,0,0,0,0,1
Prata IV,65,35,0,0,0,0,0,1
Prata III,55,40,5,0,0,0,0,1
Prata II,45,45,10,0,0,0,0,1
Prata I,35,50,15,0,0,0,0,1
Ouro V,25,55,20,0,0,0,1,3
Ouro IV,20,50,30,0,0,0,1,3
Ouro III,15,45,40,0,0,0,1,3
Ouro II,10,40,45,5,0,0,1,3
Ouro I,5,35,50,10,0,0,1,3
Platina V,0,35,50,15,0,0,2,4
Platina IV,0,30,50,20,0,0,2,4
Platina III,0,25,50,25,0,0,2,4
Platina II,0,20,45,35,0,0,2,4
Platina I,0,15,40,45,0,0,2,4
Diamante V,0,10,40,45,5,1,3,5
Diamante IV,0,5,35,50,10,1,3,5
Diamante III,0,0,35,50,15,1,3,5
Diamante II,0,0,30,50,20,1,3,5
Diamante I,0,0,25,50,25,1,3,5
Mestre V,0,0,20,50,30,2,5,5
Mestre IV,0,0,15,50,35,2,5,5
Mestre III,0,0,10,50,40,2,5,5
Mestre II,0,0,5,50,45,2,5,5
Mestre I,0,0,0,50,50,2,5,5
Grão-Mestre III,0,0,0,40,60,4,5,5
Grão-Mestre II,0,0,0,30,70,4,5,5
Grão-Mestre I,0,0,0,20,80,4,5,5
Lendário,0,0,0,10,90,5,5,5
